Position(mm),Force(kgf),Velocity(mm/s),Time(s)
-0.001,0,0,5.32
-0.001,0,0,0
0,0,0.006,5.32
0,0,0.006,5.32
0.001,0,0.094,5.32
0.001,0,0.094,5.32
0.002,0,0.183,5.32
0.002,0,0.183,5.32
0.004,0,0.317,5.32
0.004,0,0.317,5.32
0.007,0,0.506,5.32
0.007,0,0.506,5.32
0.01,0,0.756,5.32
0.01,0,0.756,5.32
0.015,0,1.056,5.32
0.015,0,1.056,5.32
0.021,0,1.45,5.32
0.021,0,1.45,5.32
0.029,0,1.978,5.32
0.029,0,1.978,5.32
0.039,0,2.639,5.32
0.039,0,2.639,5.32
0.051,0,3.417,5.32
0.051,0,3.417,5.32
0.065,0,4.294,5.32
0.065,0,4.294,5.32
0.081,0,5.244,5.32
0.081,0,5.244,5.32
0.098,0,6.256,5.32
0.098,0,6.256,5.32
0.116,0,7.317,5.32
0.116,0,7.317,5.32
0.137,0,8.422,5.32
0.137,0,8.422,5.32
0.158,0,9.561,5.32
0.158,0,9.561,5.32
0.181,0,10.728,5.32
0.181,0,10.728,5.32
0.206,0,11.922,5.32
0.206,0,11.922,5.32
0.232,0,13.144,5.32
0.232,0,13.144,5.32
0.259,0,14.383,5.32
0.259,0,14.383,5.32
0.288,0,15.644,5.32
0.288,0,15.644,5.32
0.319,0,16.922,5.32
0.319,0,16.922,5.32
0.351,0,18.211,5.32
0.351,0,18.211,5.32
0.384,0,19.517,5.32
0.384,0,19.517,5.32
0.419,0,20.844,5.32
0.419,0,20.844,5.32
0.455,0,22.183,5.32
0.455,0,22.183,5.32
0.493,0,23.533,5.32
0.493,0,23.533,5.32
0.532,0,24.906,5.32
0.532,0,24.906,5.32
0.573,0,26.289,5.32
0.573,0,26.289,5.32
0.615,0,27.683,5.32
0.615,0,27.683,5.32
0.659,0,29.083,5.32
0.659,0,29.083,5.32
0.705,0,30.506,5.32
0.705,0,30.506,5.32
0.752,0,31.933,5.32
0.752,0,31.933,5.32
0.8,0,33.367,5.32
