Position(mm),Force(kgf),Velocity(mm/s),Time(s)
18.244,0,100.117,0.12
18.244,0,0,0
18.344,0,100.156,0.12
18.344,0,100.156,0.12
18.445,0,100.189,0.122
18.445,0,100.189,0.122
18.545,0,100.222,0.125
18.545,0,100.222,0.125
18.646,0,100.25,0.128
18.646,0,100.25,0.128
18.747,0,100.278,0.13
18.747,0,100.278,0.13
18.847,0,100.3,0.13
18.847,0,100.3,0.13
18.948,0,100.322,0.131
18.948,0,100.322,0.131
19.048,0,100.339,0.132
19.048,0,100.339,0.132
19.149,0,100.361,0.133
19.149,0,100.361,0.133
19.249,0,100.372,0.134
19.249,0,100.372,0.134
19.35,0,100.383,0.136
19.35,0,100.383,0.136
19.45,0,100.4,0.137
19.45,0,100.4,0.137
19.551,0,100.406,0.138
19.551,0,100.406,0.138
19.651,0,100.411,0.139
19.651,0,100.411,0.139
19.752,0,100.417,0.14
19.752,0,100.417,0.14
19.852,0,100.417,0.14
19.852,0,100.417,0.14
19.953,0,100.422,0.141
19.953,0,100.422,0.141
20.053,0,100.422,0.142
20.053,0,100.422,0.142
20.153,0,100.428,0.143
20.153,0,100.428,0.143
20.254,0,100.433,0.144
20.254,0,100.433,0.144
20.354,0,100.428,0.146
20.354,0,100.428,0.146
20.455,0,100.428,0.147
20.455,0,100.428,0.147
20.555,0,100.428,0.148
20.555,0,100.428,0.148
20.656,0,100.428,0.149
20.656,0,100.428,0.149
20.756,0,100.428,0.15
20.756,0,100.428,0.15
20.856,0,100.428,0.15
20.856,0,100.428,0.15
20.856,0,100.428,0.151
20.856,0,100.428,0.151
20.957,0,100.422,0.152
20.957,0,100.422,0.152
21.057,0,100.417,0.153
21.057,0,100.417,0.153
21.158,0,100.411,0.154
21.158,0,100.411,0.154
21.258,0,100.406,0.155
21.258,0,100.406,0.155
21.358,0,100.394,0.156
21.358,0,100.394,0.156
21.458,0,100.383,0.157
21.458,0,100.383,0.157
21.559,0,100.378,0.158
21.559,0,100.378,0.158
21.659,0,100.367,0.159
21.659,0,100.367,0.159
21.759,0,100.356,0.16
21.759,0,100.356,0.16
21.859,0,100.344,0.16
21.859,0,100.344,0.16
21.96,0,100.328,0.161
21.96,0,100.328,0.161
22.06,0,100.317,0.162
22.06,0,100.317,0.162
22.16,0,100.306,0.163
22.16,0,100.306,0.163
22.26,0,100.294,0.164
22.26,0,100.294,0.164
22.36,0,100.283,0.166
22.36,0,100.283,0.166
22.461,0,100.278,0.167
22.461,0,100.278,0.167
22.561,0,100.278,0.168
22.561,0,100.278,0.168
22.661,0,100.272,0.169
22.661,0,100.272,0.169
22.761,0,100.267,0.17
22.761,0,100.267,0.17
22.862,0,100.267,0.17
22.862,0,100.267,0.17
22.962,0,100.261,0.171
22.962,0,100.261,0.171
23.062,0,100.261,0.172
23.062,0,100.261,0.172
23.162,0,100.256,0.173
23.162,0,100.256,0.173
23.262,0,100.244,0.174
23.262,0,100.244,0.174
23.362,0,100.233,0.176
23.362,0,100.233,0.176
23.463,0,100.228,0.177
23.463,0,100.228,0.177
23.563,0,100.222,0.178
23.563,0,100.222,0.178
23.663,0,100.217,0.179
23.663,0,100.217,0.179
23.663,0,100.217,0.18
23.663,0,100.217,0.18
23.763,0,100.211,0.18
23.763,0,100.211,0.18
23.863,0,100.206,0.181
23.863,0,100.206,0.181
23.963,0,100.2,0.182
23.963,0,100.2,0.182
24.064,0,100.2,0.183
24.064,0,100.2,0.183
24.164,0,100.194,0.184
24.164,0,100.194,0.184
24.264,0,100.2,0.185
24.264,0,100.2,0.185
24.364,0,100.194,0.186
24.364,0,100.194,0.186
24.464,0,100.194,0.187
24.464,0,100.194,0.187
24.564,0,100.194,0.188
24.564,0,100.194,0.188
24.665,0,100.189,0.189
24.665,0,100.189,0.189
24.765,0,100.189,0.19
24.765,0,100.189,0.19
24.865,0,100.194,0.19
24.865,0,100.194,0.19
24.965,0,100.2,0.191
24.965,0,100.2,0.191
25.066,0,100.206,0.192
25.066,0,100.206,0.192
25.166,0,100.206,0.193
25.166,0,100.206,0.193
25.266,0,100.211,0.194
25.266,0,100.211,0.194
25.366,0,100.211,0.196
25.366,0,100.211,0.196
25.466,0,100.211,0.197
25.466,0,100.211,0.197
25.567,0,100.211,0.198
25.567,0,100.211,0.198
25.667,0,100.206,0.199
25.667,0,100.206,0.199
25.767,0,100.206,0.2
25.767,0,100.206,0.2
25.867,0,100.206,0.2
25.867,0,100.206,0.2
25.967,0,100.2,0.201
25.967,0,100.2,0.201
26.068,0,100.2,0.202
26.068,0,100.2,0.202
26.168,0,100.194,0.203
26.168,0,100.194,0.203
26.268,0,100.189,0.204
26.268,0,100.189,0.204
26.368,0,100.183,0.206
26.368,0,100.183,0.206
26.468,0,100.178,0.207
26.468,0,100.178,0.207
26.568,0,100.161,0.208
26.568,0,100.161,0.208
26.668,0,100.156,0.209
26.668,0,100.156,0.209
26.768,0,100.156,0.21
26.768,0,100.156,0.21
26.868,0,100.133,0.21
26.868,0,100.133,0.21
26.968,0,100.122,0.211
26.968,0,100.122,0.211
27.068,0,100.117,0.212
27.068,0,100.117,0.212
27.168,0,100.106,0.213
27.168,0,100.106,0.213
27.168,0,100.106,0.214
27.168,0,100.106,0.214
27.268,0,100.1,0.215
27.268,0,100.1,0.215
27.368,0,100.089,0.216
27.368,0,100.089,0.216
27.468,0,100.089,0.217
27.468,0,100.089,0.217
27.568,0,100.089,0.218
27.568,0,100.089,0.218
27.668,0,100.083,0.219
27.668,0,100.083,0.219
27.768,0,100.078,0.22
27.768,0,100.078,0.22
27.868,0,100.067,0.22
27.868,0,100.067,0.22
27.968,0,100.061,0.221
27.968,0,100.061,0.221
28.068,0,100.056,0.222
28.068,0,100.056,0.222
28.168,0,100.044,0.223
28.168,0,100.044,0.223
28.268,0,100.039,0.224
28.268,0,100.039,0.224
28.368,0,100.028,0.225
28.368,0,100.028,0.225
28.468,0,100.028,0.226
28.468,0,100.028,0.226
28.468,0,100.028,0.227
28.468,0,100.028,0.227
28.568,0,100.022,0.228
28.568,0,100.022,0.228
28.668,0,100.022,0.229
28.668,0,100.022,0.229
28.768,0,100.017,0.23
28.768,0,100.017,0.23
28.868,0,100.017,0.23
28.868,0,100.017,0.23
28.968,0,100.011,0.231
28.968,0,100.011,0.231
29.068,0,100.011,0.232
29.068,0,100.011,0.232
29.168,0,100.017,0.233
29.168,0,100.017,0.233
29.268,0,100.017,0.234
29.268,0,100.017,0.234
29.368,0,100.022,0.236
29.368,0,100.022,0.236
29.468,0,100.022,0.237
29.468,0,100.022,0.237
29.568,0,100.028,0.238
29.568,0,100.028,0.238
29.669,0,100.028,0.239
29.669,0,100.028,0.239
29.769,0,100.022,0.24
29.769,0,100.022,0.24
29.869,0,100.028,0.24
29.869,0,100.028,0.24
29.969,0,100.028,0.241
29.969,0,100.028,0.241
30.069,0,100.033,0.242
30.069,0,100.033,0.242
30.169,0,100.033,0.243
30.169,0,100.033,0.243
30.269,0,100.033,0.244
30.269,0,100.033,0.244
30.369,0,100.033,0.246
30.369,0,100.033,0.246
30.469,0,100.033,0.247
30.469,0,100.033,0.247
30.569,0,100.033,0.248
30.569,0,100.033,0.248
30.669,0,100.039,0.249
30.669,0,100.039,0.249
30.769,0,100.039,0.25
30.769,0,100.039,0.25
30.869,0,100.044,0.25
30.869,0,100.044,0.25
30.969,0,100.044,0.251
30.969,0,100.044,0.251
31.069,0,100.05,0.252
31.069,0,100.05,0.252
31.169,0,100.05,0.253
31.169,0,100.05,0.253
31.269,0,100.05,0.254
31.269,0,100.05,0.254
31.369,0,100.05,0.256
31.369,0,100.05,0.256
31.469,0,100.05,0.257
31.469,0,100.05,0.257
31.57,0,100.061,0.258
31.57,0,100.061,0.258
31.67,0,100.072,0.259
31.67,0,100.072,0.259
31.67,0,100.072,0.26
31.67,0,100.072,0.26
31.77,0,100.078,0.26
